Stock,Weight
NEE,0.11943641390197929
KDP,0.10166308584854715
DG,0.08364212318312608
TSLA,0.08216874319836519
NFLX,0.07583845736864835
MTCH,0.06543052031460568
CHD,0.04957397125194775
COST,0.04563429676280027
AAPL,0.04311938426232615
DXCM,0.042352563380600776
CTAS,0.03770472463808319
ODFL,0.03715000422945825
STZ,0.03632943920959635
LLY,0.03451270674647802
MNST,0.029697125171506734
CMG,0.02671003243931356
HRL,0.025169751829439885
TSCO,0.024104622971958898
SHW,0.017503227079067804
TTWO,0.011477748407926584
CPRT,0.004651359806739041
AMZN,0.0024475464742545593
CSGP,0.0022326112784061044
DHR,0.0014495402448150394
INTC,4.2355528815561006e-16
NVDA,3.4257360029774076e-16
WMT,3.353006715724138e-16
SLB,2.773966054414972e-16
YUM,2.745573664121839e-16
C,2.212561785011002e-16
CSCO,2.1546868656499556e-16
T,1.8386390734607628e-16
LRCX,1.8177761658355593e-16
TJX,1.7570362029146442e-16
DECK,1.750763770210882e-16
HBAN,1.660990932436684e-16
EOG,1.658790481926982e-16
HES,1.6554635452718602e-16
MDLZ,1.519556339431622e-16
EMR,1.4777680466369646e-16
DVN,1.4397768456249042e-16
BAX,1.41457708879507e-16
STLD,1.327154583743607e-16
DD,1.3179892035716386e-16
ALL,1.2690965986449336e-16
BSX,1.2273900875084372e-16
SCHW,1.2245342997010456e-16
QCOM,1.1954633239420107e-16
FAST,1.186556282836394e-16
EQT,1.1832780951592807e-16
CTRA,1.143537347227338e-16
A,1.1177331074408347e-16
IP,1.0995563643178969e-16
MSFT,1.0249500846213317e-16
AKAM,9.716658772863191e-17
ADM,9.569289391402275e-17
HAL,9.419515766404072e-17
ON,9.333497754703123e-17
PFE,8.759855125477031e-17
PWR,8.672022871308247e-17
KEY,8.638296898759374e-17
COO,8.394969847595827e-17
EIX,8.363488620303952e-17
BIIB,7.4233952658587e-17
ICE,7.367824911363572e-17
MMC,7.12629994095971e-17
TMO,6.868475010305987e-17
WYNN,6.755918925977936e-17
AMD,6.592102342538424e-17
PHM,6.510281738506108e-17
BA,6.27030195847099e-17
TEL,6.25087526996021e-17
CRM,6.149760252448236e-17
RSG,6.029631872147943e-17
INTU,5.803532427562404e-17
PARA,5.652155361825558e-17
CVX,5.4614046032552125e-17
SPG,5.3132993762163604e-17
BKR,5.276583380629444e-17
HIG,5.1893042763600914e-17
CNC,5.115896921531127e-17
HPQ,5.0890280945923085e-17
KMB,4.995612524953887e-17
ED,4.9887505321180066e-17
CL,4.935183438486535e-17
VTR,4.888429443259911e-17
JBL,4.7845221419748674e-17
NRG,4.740204451988004e-17
VZ,4.679210272577794e-17
ADSK,4.6273376028235127e-17
CPB,4.4656256249019955e-17
AMAT,4.361725576860888e-17
TT,4.316580952666482e-17
EXPE,4.2312064842370586e-17
MRK,4.048619256014722e-17
FITB,4.0440484805221025e-17
AEP,3.915166889233009e-17
WY,3.85710483645487e-17
PPG,3.8526965278026795e-17
DE,3.808205400562955e-17
MGM,3.7976491151585775e-17
GS,3.7794949825615785e-17
PNC,3.693565990358187e-17
PEG,3.6400956669007005e-17
BWA,3.5577998628025384e-17
TXN,3.445060404237023e-17
MOS,3.422868168633665e-17
HOLX,3.335899635792474e-17
CCL,3.2708248320139715e-17
EXC,3.1286541860753147e-17
SRE,3.107695160261841e-17
AFL,3.0119525453538946e-17
JNJ,2.976569741613918e-17
TMUS,2.94348281249384e-17
UNH,2.908273492849311e-17
ISRG,2.8659712436951996e-17
CTSH,2.8510175736188964e-17
BAC,2.774476611524779e-17
SO,2.7312827679107633e-17
VRTX,2.5376568628546085e-17
PLD,2.5122236595937727e-17
SMCI,2.4831346272366076e-17
UDR,2.4464515610007016e-17
USB,2.446311690087602e-17
MMM,2.4129175281067148e-17
SYY,2.3464652622605792e-17
AMGN,2.3082150969250374e-17
TRV,2.276557649457315e-17
SWKS,2.216962782176961e-17
LVS,2.1451366126657135e-17
BEN,2.0563383877421987e-17
COR,1.997238331477528e-17
HD,1.9222728068285027e-17
BK,1.9090280328677058e-17
BALL,1.8971685069268932e-17
NUE,1.883576772444805e-17
PPL,1.789261436067061e-17
ETN,1.67401956736869e-17
CAG,1.6691318706744692e-17
NXPI,1.648586361560752e-17
MSI,1.540697378703374e-17
F,1.5401101022811212e-17
KKR,1.4815631813262236e-17
ETR,1.4778542028145257e-17
LKQ,1.3847002790010318e-17
PG,1.3302685655330393e-17
FDX,1.3294984753522566e-17
NKE,1.3238406041958685e-17
ABT,1.234469103679646e-17
LUV,1.2147785882479126e-17
WRB,1.0190063387681335e-17
BBY,9.811921333331938e-18
IRM,9.11102616882936e-18
TSN,6.970099374102738e-18
DOC,6.1086965753498334e-18
DHI,5.761796109097463e-18
NTAP,5.4380288027648114e-18
AMT,4.9471107473422485e-18
DIS,4.661332545833323e-18
PCAR,4.076137008094512e-18
CMI,3.985767774493617e-18
FTNT,3.154563993833814e-18
CBRE,2.950572890490702e-18
FIS,2.3933475918493995e-18
ACN,1.4892811378212881e-18
EW,8.823216246457169e-19
TGT,1.7811851394334139e-19
CF,5.3074176733908903e-20
