Stock,Weight
NEE,0.16571480017136953
KDP,0.10813878690489746
TSLA,0.0891869960534755
DG,0.08576817336764099
CPRT,0.06491070731533292
CHD,0.05982488077666631
MTCH,0.056051957941734176
LLY,0.0486752175577428
NFLX,0.04104925892071827
DXCM,0.040177869559978006
COST,0.03833303535520164
CTAS,0.03428025500270379
TTWO,0.03288618519516115
AMZN,0.03194625890362219
STZ,0.023504882201970126
ODFL,0.018883146640856573
MNST,0.018164878821061107
LMT,0.012452904911167245
NVDA,0.011263021067773578
AAPL,0.011253449683564707
DHR,0.00753333364735628
UNH,2.9751862865717553e-16
WEC,2.784502229485869e-16
INTC,2.4496870460951923e-16
OXY,2.308673001036298e-16
CMS,2.259206276916647e-16
BSX,2.1276451195491107e-16
USB,2.1163287593737933e-16
V,2.0726896219312522e-16
HRL,1.8949482282794116e-16
VZ,1.7489769228967113e-16
MGM,1.691185982487919e-16
GILD,1.6090915492400332e-16
CCL,1.5844598311338784e-16
NKE,1.5773786356948325e-16
PGR,1.5662316821089661e-16
PFE,1.5487828033955276e-16
AEP,1.5156532272460442e-16
SO,1.4834935038211668e-16
CMCSA,1.4391428587029321e-16
APA,1.400043817857674e-16
XEL,1.3626727242248147e-16
QCOM,1.3292996261029955e-16
SLB,1.323912496558458e-16
MSI,1.2586231969840974e-16
DIS,1.1970947236955455e-16
TJX,1.1856428382486676e-16
TXN,1.139327076692803e-16
WM,1.1194387430912722e-16
ICE,1.1030740665503193e-16
GEN,1.0789166868946269e-16
COP,1.0663467179573732e-16
MOS,1.0229595728166402e-16
ETN,1.0092228159945437e-16
MU,1.0070882929674628e-16
BA,9.850993176567414e-17
JNPR,9.78289172760817e-17
MO,9.651093401015402e-17
KMB,9.328543254700967e-17
PG,9.151005148956468e-17
